Hsap|P02144|MB	Hsap|P02144|MB	100.000	154	154	154	1.50e-110	312	100
Hsap|P02144|MB	Sscr|P02189|MB	93.506	154	154	154	4.04e-103	294	100
Hsap|P02144|MB	Tman|A0A2Y9DG99|MB	90.260	154	154	154	1.93e-98	282	100
Hsap|P02144|MB	Oros|A0A2U3X238|MB	88.312	154	154	154	6.54e-98	281	100
Hsap|P02144|MB	Zcal|P02161|MB	87.662	154	154	154	3.21e-97	279	100
Hsap|P02144|MB	Bmus|A0A8C0D084|MB	85.714	154	154	154	3.11e-96	276	100
Hsap|P02144|MB	Mfur|A0A8U0SD72|MB	87.662	154	154	154	1.84e-95	275	100
Hsap|P02144|MB	Pmac|P02185|MB	84.416	154	154	154	6.01e-95	273	100
Hsap|P02144|MB	Clup|P63113|MB	85.065	154	154	154	2.05e-94	272	100
Hsap|P02144|MB	Lafr|P02187|MB	84.416	154	154	154	4.58e-93	268	100
Hsap|P02144|MB	Lafr|G5E7F2|MB	83.766	154	154	154	1.03e-92	267	100
Hsap|P02144|MB	Btau|P02192|MB	84.416	154	154	154	1.75e-92	267	100
