Hsap|P00966|ASS1	Hsap|P00966|ASS1	100.000	412	412	412	0.0	858	100
Hsap|P00966|ASS1	Mfur|M3YMP6|ASS1	98.301	412	412	412	0.0	847	100
Hsap|P00966|ASS1	Clup|A0A8I3P8L4|ASS1	98.058	412	412	412	0.0	845	100
Hsap|P00966|ASS1	Zcal|A0A6J2EZV5|ASS1	98.058	412	412	412	0.0	845	100
Hsap|P00966|ASS1	Oros|A0A2U3VD49|ASS1	98.058	412	412	412	0.0	844	100
Hsap|P00966|ASS1	Lafr|G3SMU8|ASS1	97.087	412	412	412	0.0	839	100
Hsap|P00966|ASS1	Sscr|A0A287A9G4|ASS1	97.330	412	412	428	0.0	838	100
Hsap|P00966|ASS1	Btau|P14568|ASS1	96.117	412	412	412	0.0	836	100
Hsap|P00966|ASS1	Bmus|A0A8C0I617|ASS1	95.631	412	412	412	0.0	833	100
Hsap|P00966|ASS1	Tman|A0A2Y9QT23|ASS1	96.117	412	412	412	0.0	828	100
Hsap|P00966|ASS1	Btau|A0AAF6Z809|ASS1	90.376	426	412	426	0.0	785	100
Hsap|P00966|ASS1	Pmac|A0A455BE80|LOC114485298	92.958	142	412	158	8.04e-97	288	34
Hsap|P00966|ASS1	Pmac|A0A455BW05|ASS1	96.970	132	412	345	8.20e-87	270	32
